"Category","Code","Name","Width (mm)","Width1 (mm)","Width2 (mm)","Thickness (mm)","Diameter (mm)","Depth (mm)","Flange Thickness (mm)","Web Thickness (mm)","Length (mm)","Weight (kg/m)","Length Options (m)","Grade","Standard","Coating","Price per kg ($)","Price per m ($)","Surface Area (m²/m)","Supplier","Available Lengths (m)","Sheet Size (mm)","Outside Diameter (mm)","Inside Diameter (mm)","Corner Radius (mm)","Wall Thickness (mm)","Nominal Size","Finish Options","Mass per Unit (kg)","Active"
"Flats","SF02505","Mild Steel Flat 25x5mm","25.00","","","5.00","","","","","6000","0.980","6.0","G300","AS/NZS 3679.1-300","","","","","ASMUSS","6.0","","","","","","","","","true"
"Equal Angles","SA05006","Mild Steel Equal Angle 50x50x6mm","50.00","","","6.00","","","","","6000","4.460","6.0,9.0","G300","AS/NZS 3679.1-300","","","","","ASMUSS","6.0,9.0","","","","","","","","","true"
"Universal Beams","SUB150014","Universal Beam 150x75x14mm","75.00","","","","","150.00","7.00","5.00","6000","14.000","6.0,9.0","G300SO","AS3679.1","","","","0.590","ASMUSS","6.0,9.0","","","","","","","","","true"
"SHS","SHS05025","Square Hollow Section 50x50x2.5mm","50.00","","","2.5","","","","","8000","3.600","8.0,12.0","C350LO","AS/NZS 1163","","","","","ASMUSS","8.0,12.0","","","","","2.5","","NOPC,Primed,Pregalv","","true"
"Cold Rolled Sheets","SHCR16","Cold Rolled Sheet 1.6mm","2438.00","","","1.60","","","","","","12.560","","","JIS G3141 SPCC SD","","","","","ASMUSS","","2438 x 1219","","","","","","","","true"
"Black Pipe","BP15","Black Pipe 15mm","","","","2.3","21.3","","","","6000","1.270","6.0","","AS/NZS 1074","","","","","ASMUSS","6.0","","21.3","16.7","","","","","","true"
