Category,Code,Name,Width (mm),Thickness (mm),Diameter (mm),Depth (mm),Flange TF (mm),Web TW (mm),Weight (kg/m),Length Options (m),Grade,Standard
Channels,SC200075,Mild Steel Channel 200x75mm,75,,200,12,6,22.9,"6.0,9.0,10.5,12.0,15.0,16.5,18.0",G300,AS3679.1
Channels,SC230075,Mild Steel Channel 230x75mm,75,,230,12,6.5,25.1,"6.0,9.0,10.5,12.0,15.0,18.0",G300,AS3679.1
Channels,SC250090,Mild Steel Channel 250x90mm,90,,250,15,8,35.5,"6.0,9.0,10.5,12.0,15.0,16.5,18.0",G300,AS3679.1
Channels,SC300090,Mild Steel Channel 300x90mm,90,,300,16,8,40.1,"6.0,9.0,10.5,12.0,15.0,16.5,18.0",G300,AS3679.1
Channels,SC380100,Mild Steel Channel 380x100mm,100,,380,17.5,10,55.2,"6.0,9.0,10.5,16.5,18.0",G300,AS3679.1
Cold Formed Channels,SC051025CF,Cold Formed Channel 25x50x3mm,50,,25,,3,2.31,6.0,HA-250,AS1594
Cold Formed Channels,SC076038CF,Cold Formed Channel 40x75x3mm,75,,40,,3,3.77,6.0,HA-250,AS1594
Cold Formed Channels,SC102051CF,Cold Formed Channel 51x102x3mm,102,,51,,3,5.28,6.0,HA-250,AS1594
SHS,SHS02016,Square Hollow Section 20x20x1.6mm,20,1.6,,,,0.87,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS02020,Square Hollow Section 20x20x2mm,20,2,,,,1.05,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS02516,Square Hollow Section 25x25x1.6mm,25,1.6,,,,1.12,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS02520,Square Hollow Section 25x25x2mm,25,2,,,,1.36,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS02525,Square Hollow Section 25x25x2.5mm,25,2.5,,,,1.64,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS02530,Square Hollow Section 25x25x3mm,25,3,,,,1.89,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS03016,Square Hollow Section 30x30x1.6mm,30,1.6,,,,1.38,8.0,C350LO,AS/NZS 1163
SHS,SHS03020,Square Hollow Section 30x30x2mm,30,2,,,,1.68,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS03516,Square Hollow Section 35x35x1.6mm,35,1.6,,,,1.63,8.0,C350LO,AS/NZS 1163
SHS,SHS03520,Square Hollow Section 35x35x2mm,35,2,,,,1.99,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS03525,Square Hollow Section 35x35x2.5mm,35,2.5,,,,2.42,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS03530,Square Hollow Section 35x35x3mm,35,3,,,,2.83,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS03540,Square Hollow Section 35x35x4mm,35,4,,,,3.46,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS04016,Square Hollow Section 40x40x1.6mm,40,1.6,,,,1.88,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS04020,Square Hollow Section 40x40x2mm,40,2,,,,2.31,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS04025,Square Hollow Section 40x40x2.5mm,40,2.5,,,,2.82,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS04030,Square Hollow Section 40x40x3mm,40,3,,,,3.30,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS04040,Square Hollow Section 40x40x4mm,40,4,,,,4.09,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS05016,Square Hollow Section 50x50x1.6mm,50,1.6,,,,2.38,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS05020,Square Hollow Section 50x50x2mm,50,2,,,,2.93,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS05025,Square Hollow Section 50x50x2.5mm,50,2.5,,,,3.60,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS05030,Square Hollow Section 50x50x3mm,50,3,,,,4.25,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS05040,Square Hollow Section 50x50x4mm,50,4,,,,5.35,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS05050,Square Hollow Section 50x50x5mm,50,5,,,,6.39,"8.0,12.0",C350LO,AS/NZS 1163
SHS,SHS05060,Square Hollow Section 50x50x6mm,50,6,,,,7.32,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS05002516,Rectangular Hollow Section 50x25x1.6mm,50,1.6,,25,,,1.75,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS05002520,Rectangular Hollow Section 50x25x2mm,50,2,,25,,,2.15,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS05002525,Rectangular Hollow Section 50x25x2.5mm,50,2.5,,25,,,2.62,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS05002530,Rectangular Hollow Section 50x25x3mm,50,3,,25,,,3.07,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS06503520,Rectangular Hollow Section 65x35x2mm,65,2,,35,,,2.93,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS06503525,Rectangular Hollow Section 65x35x2.5mm,65,2.5,,35,,,3.60,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS06503530,Rectangular Hollow Section 65x35x3mm,65,3,,35,,,4.25,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS06503540,Rectangular Hollow Section 65x35x4mm,65,4,,35,,,5.35,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS07502516,Rectangular Hollow Section 75x25x1.6mm,75,1.6,,25,,,2.38,8.0,C350LO,AS/NZS 1163
RHS,RHS07502520,Rectangular Hollow Section 75x25x2mm,75,2,,25,,,2.93,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS07502525,Rectangular Hollow Section 75x25x2.5mm,75,2.5,,25,,,3.60,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS07504025,Rectangular Hollow Section 75x40x2.5mm,75,2.5,,40,,,4.18,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS07504030,Rectangular Hollow Section 75x40x3mm,75,3,,40,,,4.95,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS07504040,Rectangular Hollow Section 75x40x4mm,75,4,,40,,,6.29,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS07505020,Rectangular Hollow Section 75x50x2mm,75,2,,50,,,3.72,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS07505025,Rectangular Hollow Section 75x50x2.5mm,75,2.5,,50,,,4.58,"8.0,12.0",C350LO,AS/NZS 1163
RHS,RHS07505030,Rectangular Hollow Section 75x50x3mm,75,3,,50,,,5.42,"8.0,12.0",C350LO,AS/NZS 1163
