Category,Code,Name,Width (mm),Thickness (mm),Diameter (mm),Depth (mm),Flange TF (mm),Web TW (mm),Weight (kg/m),Length Options (m),Grade,Standard
Flats,SF09006,Mild Steel Flat 90x6mm,90,6,,,,,4.24,6.0,300,AS/NZS 3679.1-300
Flats,SF09010,Mild Steel Flat 90x10mm,90,10,,,,,7.07,6.0,300,AS/NZS 3679.1-300
Flats,SF09012,Mild Steel Flat 90x12mm,90,12,,,,,8.48,6.0,300,AS/NZS 3679.1-300
Flats,SF10003,Mild Steel Flat 100x3mm,100,3,,,,,2.36,6.0,300,AS/NZS 3679.1-300
Flats,SF10005,Mild Steel Flat 100x5mm,100,5,,,,,3.93,6.0,300,AS/NZS 3679.1-300
Flats,SF10006,Mild Steel Flat 100x6mm,100,6,,,,,4.71,6.0,300,AS/NZS 3679.1-300
Flats,SF10008,Mild Steel Flat 100x8mm,100,8,,,,,6.28,6.0,300,AS/NZS 3679.1-300
Flats,SF10010,Mild Steel Flat 100x10mm,100,10,,,,,7.85,6.0,300,AS/NZS 3679.1-300
Flats,SF10012,Mild Steel Flat 100x12mm,100,12,,,,,9.42,6.0,300,AS/NZS 3679.1-300
Flats,SF10016,Mild Steel Flat 100x16mm,100,16,,,,,12.56,6.0,300,AS/NZS 3679.1-300
Flats,SF10020,Mild Steel Flat 100x20mm,100,20,,,,,15.70,6.0,300,AS/NZS 3679.1-300
Flats,SF10025,Mild Steel Flat 100x25mm,100,25,,,,,19.63,6.0,300,AS/NZS 3679.1-300
Flats,SF13006,Mild Steel Flat 130x6mm,130,6,,,,,6.12,6.0,300,AS/NZS 3679.1-300
Flats,SF13008,Mild Steel Flat 130x8mm,130,8,,,,,8.16,6.0,300,AS/NZS 3679.1-300
Flats,SF13010,Mild Steel Flat 130x10mm,130,10,,,,,10.21,6.0,300,AS/NZS 3679.1-300
Flats,SF13012,Mild Steel Flat 130x12mm,130,12,,,,,12.25,6.0,300,AS/NZS 3679.1-300
Flats,SF13016,Mild Steel Flat 130x16mm,130,16,,,,,16.33,6.0,300,AS/NZS 3679.1-300
Flats,SF13020,Mild Steel Flat 130x20mm,130,20,,,,,20.41,6.0,300,AS/NZS 3679.1-300
Flats,SF15006,Mild Steel Flat 150x6mm,150,6,,,,,7.07,6.0,300,AS/NZS 3679.1-300
Flats,SF15008,Mild Steel Flat 150x8mm,150,8,,,,,9.42,6.0,300,AS/NZS 3679.1-300
Flats,SF15010,Mild Steel Flat 150x10mm,150,10,,,,,11.78,6.0,300,AS/NZS 3679.1-300
Flats,SF15012,Mild Steel Flat 150x12mm,150,12,,,,,14.13,6.0,300,AS/NZS 3679.1-300
Flats,SF15016,Mild Steel Flat 150x16mm,150,16,,,,,18.84,6.0,300,AS/NZS 3679.1-300
Flats,SF15020,Mild Steel Flat 150x20mm,150,20,,,,,23.55,6.0,300,AS/NZS 3679.1-300
Flats,SF15025,Mild Steel Flat 150x25mm,150,25,,,,,29.44,6.0,300,AS/NZS 3679.1-300
Flats,SF18006,Mild Steel Flat 180x6mm,180,6,,,,,8.48,6.0,300,AS/NZS 3679.1-300
Flats,SF18010,Mild Steel Flat 180x10mm,180,10,,,,,14.13,6.0,300,AS/NZS 3679.1-300
Flats,SF18012,Mild Steel Flat 180x12mm,180,12,,,,,16.96,6.0,300,AS/NZS 3679.1-300
Flats,SF20006,Mild Steel Flat 200x6mm,200,6,,,,,9.42,6.0,300,AS/NZS 3679.1-300
Flats,SF20008,Mild Steel Flat 200x8mm,200,8,,,,,12.56,6.0,300,AS/NZS 3679.1-300
Flats,SF20010,Mild Steel Flat 200x10mm,200,10,,,,,15.70,6.0,300,AS/NZS 3679.1-300
Flats,SF20012,Mild Steel Flat 200x12mm,200,12,,,,,18.84,6.0,300,AS/NZS 3679.1-300
Flats,SF20016,Mild Steel Flat 200x16mm,200,16,,,,,25.12,6.0,300,AS/NZS 3679.1-300
Flats,SF20020,Mild Steel Flat 200x20mm,200,20,,,,,31.40,6.0,300,AS/NZS 3679.1-300
Flats,SF20025,Mild Steel Flat 200x25mm,200,25,,,,,39.25,6.0,300,AS/NZS 3679.1-300
Flats,SF23010,Mild Steel Flat 230x10mm,230,10,,,,,18.06,6.0,300,AS/NZS 3679.1-300
Flats,SF25006,Mild Steel Flat 250x6mm,250,6,,,,,11.78,6.0,300,AS/NZS 3679.1-300
Flats,SF25010,Mild Steel Flat 250x10mm,250,10,,,,,19.63,6.0,300,AS/NZS 3679.1-300
Flats,SF25012,Mild Steel Flat 250x12mm,250,12,,,,,23.55,6.0,300,AS/NZS 3679.1-300
Flats,SF25016,Mild Steel Flat 250x16mm,250,16,,,,,31.40,6.0,300,AS/NZS 3679.1-300
Flats,SF25020,Mild Steel Flat 250x20mm,250,20,,,,,39.25,6.0,300,AS/NZS 3679.1-300
Flats,SF25025,Mild Steel Flat 250x25mm,250,25,,,,,49.06,6.0,300,AS/NZS 3679.1-300
Flats,SF30006,Mild Steel Flat 300x6mm,300,6,,,,,14.13,6.0,300,AS/NZS 3679.1-300
Flats,SF30010,Mild Steel Flat 300x10mm,300,10,,,,,23.55,6.0,300,AS/NZS 3679.1-300
Flats,SF30012,Mild Steel Flat 300x12mm,300,12,,,,,28.26,6.0,300,AS/NZS 3679.1-300
Flats,SF30016,Mild Steel Flat 300x16mm,300,16,,,,,37.68,6.0,300,AS/NZS 3679.1-300
Flats,SF30020,Mild Steel Flat 300x20mm,300,20,,,,,47.10,6.0,300,AS/NZS 3679.1-300
Flats,SF30025,Mild Steel Flat 300x25mm,300,25,,,,,58.88,6.0,300,AS/NZS 3679.1-300
