"Category","Code","Name","Width (mm)","Width1 (mm)","Width2 (mm)","Thickness (mm)","Diameter (mm)","Depth (mm)","Flange Thickness (mm)","Web Thickness (mm)","Length (mm)","Weight (kg/m)","Length Options (m)","Grade","Standard","Coating","Price per kg ($)","Price per m ($)","Surface Area (m²/m)","Supplier","Available Lengths (m)","Sheet Size (mm)","Outside Diameter (mm)","Inside Diameter (mm)","Corner Radius (mm)","Wall Thickness (mm)","Nominal Size","Finish Options","Mass per Unit (kg)","Active"
"Flats","SF02503","Mild Steel Flat 25x3mm","25.00","","","3.00","","","","","","0.590","6","300","AS/NZS 3679.1-300","","","","0.06","ASMUSS","","","","","","","","","","true"
"Flats","SF08012","Mild Steel Flat 80x12mm","80.00","","","12.00","","","","","","7.540","6","300","AS/NZS 3679.1-300","","","","0.18","ASMUSS","","","","","","","","","","true"
"Flats","SF10003","Mild Steel Flat 100x3mm","100.00","","","3.00","","","","","","2.360","6","300","AS/NZS 3679.1-300","","","","0.21","ASMUSS","","","","","","","","","","true"
"Flats","SF10008","Mild Steel Flat 100x8mm","100.00","","","8.00","","","","","","6.280","6","300","AS/NZS 3679.1-300","","","","0.22","ASMUSS","","","","","","","","","","true"
"Flats","SF10010","Mild Steel Flat 100x10mm","100.00","","","10.00","","","","","","7.850","6","300","AS/NZS 3679.1-300","","","","0.22","ASMUSS","","","","","","","","","","true"
"Flats","SF10016","Mild Steel Flat 100x16mm","100.00","","","16.00","","","","","","12.560","6","300","AS/NZS 3679.1-300","","","","0.23","ASMUSS","","","","","","","","","","true"
"Flats","SF10025","Mild Steel Flat 100x25mm","100.00","","","25.00","","","","","","19.630","6","300","AS/NZS 3679.1-300","","","","0.25","ASMUSS","","","","","","","","","","true"
"Flats","SF25012","Mild Steel Flat 250x12mm","250.00","","","12.00","","","","","","23.550","6","300","AS/NZS 3679.1-300","","","","0.52","ASMUSS","","","","","","","","","","true"
"Flats","SF30020","Mild Steel Flat 300x20mm","300.00","","","20.00","","","","","","47.100","6","300","AS/NZS 3679.1-300","","","","0.64","ASMUSS","","","","","","","","","","true"
"Flats","SF01603","Mild Steel Flat 16x3mm","16.00","","","3.00","","","","","","0.380","6","300","AS/NZS 3679.1-300","","","","0.04","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA05008","Mild Steel Equal Angle 50x50x8mm","50.00","","","8.00","","","","","","5.680","6.0;9.0","300","AS/NZS 3679.1-300","","","","0.18","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA06006","Mild Steel Equal Angle 60x60x6mm","60.00","","","6.00","","","","","","5.420","6.0;9.0","300","AS/NZS 3679.1-300","","","","0.23","ASMUSS","","","","","","","","","","true"
"Rounds","SR24","Mild Steel Round 24mm","","","","","24.00","","","","","3.550","6","300","AS/NZS 3679.1-300","","","","0.08","ASMUSS","","","","","","","","","","true"
"RHS","RHS10005020","Rectangular Hollow Section 100x50x2mm","100.00","","","2.00","","50.00","","","","4.500","8","C350LO","AS/NZS 1163","","","","0.58","ASMUSS","","","","","","","","","","true"
"Equal Angles","SA06510","Mild Steel Equal Angle 65x65x10mm","65.00","","","10.00","","","","","","9.020","9","300","AS/NZS 3679.1-300","","","","0.24","ASMUSS","","","","","","","","","","true"
"RHS","RHS07502525","Rectangular Hollow Section 75x25x2.5mm","75.00","","","2.50","","25.00","","","","3.600","8.0;12.0","C350LO","AS/NZS 1163","","","","0.38","ASMUSS","","","","","","","","","","true"
"RHS","RHS07603840","Rectangular Hollow Section 76x38x4mm","76.00","","","4.00","","38.00","","","","6.230","8.0;12.0","C350LO","AS/NZS 1163","","","","0.42","ASMUSS","","","","","","","","","","true"
"RHS","RHS05002520","Rectangular Hollow Section 50x25x2mm","50.00","","","2.00","","25.00","","","","2.150","8.0;12.0","C350LO","AS/NZS 1163","","","","0.28","ASMUSS","","","","","","","","","","true"
"RHS","RHS10207635","Rectangular Hollow Section 102x76x3.5mm","102.00","","","3.50","","76.00","","","","9.090","8.0;12.0","C350LO","AS/NZS 1163","","","","0.68","ASMUSS","","","","","","","","","","true"
"RHS","RHS10207660","Rectangular Hollow Section 102x76x6mm","102.00","","","6.00","","76.00","","","","14.670","8.0;12.0","C350LO","AS/NZS 1163","","","","0.66","ASMUSS","","","","","","","","","","true"
