"Category","Code","Name","Width (mm)","Width1 (mm)","Width2 (mm)","Thickness (mm)","Diameter (mm)","Depth (mm)","Flange Thickness (mm)","Web Thickness (mm)","Length (mm)","Weight (kg/m)","Length Options (m)","Grade","Standard","Coating","Price per kg ($)","Price per m ($)","Surface Area (m²/m)","Supplier","Available Lengths (m)","Sheet Size (mm)","Outside Diameter (mm)","Inside Diameter (mm)","Corner Radius (mm)","Wall Thickness (mm)","Nominal Size","Finish Options","Mass per Unit (kg)","Active"
"Unequal Angles","SUA07505005","Mild Steel Unequal Angle 75x50x5mm","75.00","75.00","50.00","5.00","","","","","","4.400","6.0;9.0","300","AS/NZS 3679.1-300","","","","0.29","ASMUSS","","","","","","","","","","true"
"Unequal Angles","SUA07505006","Mild Steel Unequal Angle 75x50x6mm","75.00","75.00","50.00","6.00","","","","","","5.660","6.0;9.0","300","AS/NZS 3679.1-300","","","","0.29","ASMUSS","","","","","","","","","","true"
"Unequal Angles","SUA15009008","Mild Steel Unequal Angle 150x90x8mm","150.00","150.00","90.00","8.00","","","","","","14.300","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.46","ASMUSS","","","","","","","","","","true"
"Unequal Angles","SUA12507510","Mild Steel Unequal Angle 125x75x10mm","125.00","125.00","75.00","10.00","","","","","","14.200","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.38","ASMUSS","","","","","","","","","","true"
"Unequal Angles","SUA15010010","Mild Steel Unequal Angle 150x100x10mm","150.00","150.00","100.00","10.00","","","","","","18.000","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.48","ASMUSS","","","","","","","","","","true"
"SHS","SHS02520","Square Hollow Section 25x25x2mm","1200.00","","","25.00","","25.00","","","2400.00","1.360","8.0;12.0","C350LO","AS/NZS 1163","","","","0.18","ASMUSS","","","","","","","","","","true"
"SHS","SHS02530","Square Hollow Section 25x25x3mm","1200.00","","","25.00","","25.00","","","2400.00","1.890","8.0;12.0","C350LO","AS/NZS 1163","","","","0.18","ASMUSS","","","","","","","","","","true"
"Unequal Angles","SUA10007506","Mild Steel Unequal Angle 100x75x6mm","100.00","100.00","75.00","6.00","","","","","","7.980","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.34","ASMUSS","","","","","","","","","","true"
"Unequal Angles","SUA15010012","Mild Steel Unequal Angle 150x100x12mm","150.00","150.00","100.00","12.00","","","","","","22.500","6.0;12.0","300","AS/NZS 3679.1-300","","","","0.48","ASMUSS","","","","","","","","","","true"
"Unequal Angles","SUA15009010","Mild Steel Unequal Angle 150x90x10mm","150.00","150.00","90.00","10.00","","","","","","17.300","6.0;9.0;12.0","300","AS/NZS 3679.1-300","","","","0.46","ASMUSS","","","","","","","","","","true"
"SHS","SHS03016","Square Hollow Section 30x30x1.6mm","1200.00","","","30.00","","30.00","","","2400.00","1.380","8","C350LO","AS/NZS 1163","","","","0.23","ASMUSS","","","","","","","","","","true"
"SHS","SHS03520","Square Hollow Section 35x35x2mm","1200.00","","","35.00","","35.00","","","2400.00","1.990","8.0;12.0","C350LO","AS/NZS 1163","","","","0.26","ASMUSS","","","","","","","","","","true"
"SHS","SHS04025","Square Hollow Section 40x40x2.5mm","1200.00","","","40.00","","40.00","","","2400.00","2.820","8.0;12.0","C350LO","AS/NZS 1163","","","","0.30","ASMUSS","","","","","","","","","","true"
"SHS","SHS05020","Square Hollow Section 50x50x2mm","1200.00","","","50.00","","50.00","","","2400.00","2.930","8.0;12.0","C350LO","AS/NZS 1163","","","","0.38","ASMUSS","","","","","","","","","","true"
"SHS","SHS05025","Square Hollow Section 50x50x2.5mm","1200.00","","","50.00","","50.00","","","2400.00","3.600","8.0;12.0","C350LO","AS/NZS 1163","","","","0.38","ASMUSS","","","","","","","","","","true"
"SHS","SHS05040","Square Hollow Section 50x50x4mm","1200.00","","","50.00","","50.00","","","2400.00","5.350","8.0;12.0","C350LO","AS/NZS 1163","","","","0.37","ASMUSS","","","","","","","","","","true"
"SHS","SHS05050","Square Hollow Section 50x50x5mm","1200.00","","","50.00","","50.00","","","2400.00","6.390","8.0;12.0","C350LO","AS/NZS 1163","","","","0.36","ASMUSS","","","","","","","","","","true"
"SHS","SHS05060","Square Hollow Section 50x50x6mm","1200.00","","","50.00","","50.00","","","2400.00","7.320","8.0;12.0","C350LO","AS/NZS 1163","","","","0.35","ASMUSS","","","","","","","","","","true"
"SHS","SHS06520","Square Hollow Section 65x65x2mm","1200.00","","","65.00","","65.00","","","2400.00","3.880","8.0;12.0","C350LO","AS/NZS 1163","","","","0.50","ASMUSS","","","","","","","","","","true"
"SHS","SHS06525","Square Hollow Section 65x65x2.5mm","1200.00","","","65.00","","65.00","","","2400.00","4.780","8.0;12.0","C350LO","AS/NZS 1163","","","","0.50","ASMUSS","","","","","","","","","","true"
"SHS","SHS06540","Square Hollow Section 65x65x4mm","1200.00","","","65.00","","65.00","","","2400.00","7.230","8.0;12.0","C350LO","AS/NZS 1163","","","","0.49","ASMUSS","","","","","","","","","","true"
"SHS","SHS06550","Square Hollow Section 65x65x5mm","1200.00","","","65.00","","65.00","","","2400.00","8.750","8.0;12.0","C350LO","AS/NZS 1163","","","","0.48","ASMUSS","","","","","","","","","","true"
"SHS","SHS06560","Square Hollow Section 65x65x6mm","1200.00","","","65.00","","65.00","","","2400.00","10.100","8.0;12.0","C350LO","AS/NZS 1163","","","","0.47","ASMUSS","","","","","","","","","","true"
"SHS","SHS07525","Square Hollow Section 75x75x2.5mm","1200.00","","","75.00","","75.00","","","2400.00","5.560","8","C350LO","AS/NZS 1163","","","","0.58","ASMUSS","","","","","","","","","","true"
"SHS","SHS07530","Square Hollow Section 75x75x3mm","1200.00","","","75.00","","75.00","","","2400.00","6.600","8.0;12.0","C350LO","AS/NZS 1163","","","","0.58","ASMUSS","","","","","","","","","","true"
"SHS","SHS07560","Square Hollow Section 75x75x6mm","1200.00","","","75.00","","75.00","","","2400.00","12.000","8.0;12.0","C350LO","AS/NZS 1163","","","","0.55","ASMUSS","","","","","","","","","","true"
"SHS","SHS08935","Square Hollow Section 89x89x3.5mm","1200.00","","","89.00","","89.00","","","2400.00","9.070","8.0;12.0","C350LO","AS/NZS 1163","","","","0.68","ASMUSS","","","","","","","","","","true"
"SHS","SHS08950","Square Hollow Section 89x89x5mm","1200.00","","","89.00","","89.00","","","2400.00","12.500","8.0;12.0","C350LO","AS/NZS 1163","","","","0.67","ASMUSS","","","","","","","","","","true"
"SHS","SHS10030","Square Hollow Section 100x100x3mm","1200.00","","","100.00","","100.00","","","2400.00","8.960","8.0;12.0","C350LO","AS/NZS 1163","","","","0.78","ASMUSS","","","","","","","","","","true"
"SHS","SHS10040","Square Hollow Section 100x100x4mm","1200.00","","","100.00","","100.00","","","2400.00","11.600","8.0;12.0","C350LO","AS/NZS 1163","","","","0.77","ASMUSS","","","","","","","","","","true"
"SHS","SHS10050","Square Hollow Section 100x100x5mm","1200.00","","","100.00","","100.00","","","2400.00","14.200","8.0;12.0","C350LO","AS/NZS 1163","","","","0.76","ASMUSS","","","","","","","","","","true"
"SHS","SHS10060","Square Hollow Section 100x100x6mm","1200.00","","","100.00","","100.00","","","2400.00","16.700","8.0;12.0","C350LO","AS/NZS 1163","","","","0.75","ASMUSS","","","","","","","","","","true"
"SHS","SHS10090","Square Hollow Section 100x100x9mm","1200.00","","","100.00","","100.00","","","2400.00","23.500","8.0;12.0","C350LO","AS/NZS 1163","","","","0.73","ASMUSS","","","","","","","","","","true"
"SHS","SHS12540","Square Hollow Section 125x125x4mm","1200.00","","","125.00","","125.00","","","2400.00","14.800","8.0;12.0","C350LO","AS/NZS 1163","","","","0.97","ASMUSS","","","","","","","","","","true"
"SHS","SHS12590","Square Hollow Section 125x125x9mm","1200.00","","","125.00","","125.00","","","2400.00","30.600","8.0;12.0","C350LO","AS/NZS 1163","","","","0.93","ASMUSS","","","","","","","","","","true"
"SHS","SHS20060","Square Hollow Section 200x200x6mm","1200.00","","","200.00","","200.00","","","2400.00","35.600","8.0;12.0","C350LO","AS/NZS 1163","","","","1.55","ASMUSS","","","","","","","","","","true"
"SHS","SHS20090","Square Hollow Section 200x200x9mm","1200.00","","","200.00","","200.00","","","2400.00","51.800","8.0;12.0","C350LO","AS/NZS 1163","","","","1.53","ASMUSS","","","","","","","","","","true"
"SHS","SHS25060","Square Hollow Section 250x250x6mm","1200.00","","","250.00","","250.00","","","2400.00","45.000","8.0;12.0","C350LO","AS/NZS 1163","","","","1.95","ASMUSS","","","","","","","","","","true"
"SHS","SHS25090","Square Hollow Section 250x250x9mm","1200.00","","","250.00","","250.00","","","2400.00","65.900","8.0;12.0","C350LO","AS/NZS 1163","","","","1.93","ASMUSS","","","","","","","","","","true"
"SHS","SHS300125","Square Hollow Section 300x300x12.5mm","1200.00","","","300.00","","300.00","","","2400.00","107.000","12","C350LO","AS/NZS 1163","","","","2.30","ASMUSS","","","","","","","","","","true"
"Squares","SQ08","Mild Steel Square 8mm","8.00","","","8.00","","8.00","","","","0.500","6","300","AS/NZS 3679.1-300","","","","0.03","ASMUSS","","","","","","","","","","true"
"Squares","SQ12","Mild Steel Square 12mm","12.00","","","12.00","","12.00","","","","1.130","6","300","AS/NZS 3679.1-300","","","","0.05","ASMUSS","","","","","","","","","","true"
"Squares","SQ16","Mild Steel Square 16mm","16.00","","","16.00","","16.00","","","","2.010","6","300","AS/NZS 3679.1-300","","","","0.06","ASMUSS","","","","","","","","","","true"
"Squares","SQ32","Mild Steel Square 32mm","32.00","","","32.00","","32.00","","","","8.040","6","300","AS/NZS 3679.1-300","","","","0.13","ASMUSS","","","","","","","","","","true"
"SHS","SHS15060","Square Hollow Section 150x150x6mm","1200.00","","","150.00","","150.00","","","2400.00","26.200","8.0;12.0","C350LO","AS/NZS 1163","","","","1.15","ASMUSS","","","","","","","","","","true"
"SHS","SHS20050","Square Hollow Section 200x200x5mm","1200.00","","","200.00","","200.00","","","2400.00","29.900","8.0;12.0","C350LO","AS/NZS 1163","","","","1.56","ASMUSS","","","","","","","","","","true"
"Mild Steel Plates","SPL003","Mild Steel Plate 3mm","2400.00","","","3.00","","","","","1200.00","23.600","2400x1200, 3000x1520, 3600x1520, 3600x1800","G250","AS1594 & AS3678","","","","4.81","ASMUSS","","","","","","","","","","true"
"Mild Steel Plates","SPL004","Mild Steel Plate 4mm","2400.00","","","4.00","","","","","1200.00","31.400","2400x1200, 3000x1520, 3600x1520, 3600x1800","G250","AS1594 & AS3678","","","","4.81","ASMUSS","","","","","","","","","","true"
"Mild Steel Plates","SPL005","Mild Steel Plate 5mm","2400.00","","","5.00","","","","","1200.00","39.300","2400x1200, 3000x1520, 3600x1520, 3600x1800","G250","AS1594 & AS3678","","","","4.81","ASMUSS","","","","","","","","","","true"
"Mild Steel Plates","SPL006","Mild Steel Plate 6mm","2400.00","","","6.00","","","","","1200.00","47.100","2400x1200, 3000x1520, 3600x1520","G250","AS1594 & AS3678","","","","4.81","ASMUSS","","","","","","","","","","true"
"Mild Steel Plates","SPL008","Mild Steel Plate 8mm","2400.00","","","8.00","","","","","1200.00","62.800","2400x1200, 3000x1520, 3600x1520","G250","AS1594 & AS3678","","","","4.82","ASMUSS","","","","","","","","","","true"
"Mild Steel Plates","SPL010","Mild Steel Plate 10mm","2400.00","","","10.00","","","","","1200.00","78.500","2400x1200, 3000x1520, 3600x1520","G250","AS1594 & AS3678","","","","4.82","ASMUSS","","","","","","","","","","true"
"Mild Steel Plates","SPL012","Mild Steel Plate 12mm","2400.00","","","12.00","","","","","1200.00","94.200","2400x1200, 3600x1520","G250","AS1594 & AS3678","","","","4.82","ASMUSS","","","","","","","","","","true"
"Mild Steel Plates","SPL016","Mild Steel Plate 16mm","2400.00","","","16.00","","","","","1200.00","125.600","2400x1200, 3600x1520","G250","AS1594 & AS3678","","","","4.83","ASMUSS","","","","","","","","","","true"
"Mild Steel Plates","SPL020","Mild Steel Plate 20mm","2400.00","","","20.00","","","","","1200.00","157.000","2400x1200, 3000x1520, 3600x1520","G250","AS1594 & AS3678","","","","4.84","ASMUSS","","","","","","","","","","true"
"Mild Steel Plates","SPL025","Mild Steel Plate 25mm","2400.00","","","25.00","","","","","1200.00","196.300","2400x1200, 3600x1520","G250","AS1594 & AS3678","","","","4.85","ASMUSS","","","","","","","","","","true"
"Mild Steel Plates","SPL032","Mild Steel Plate 32mm","2400.00","","","32.00","","","","","1200.00","251.200","2400x1200, 3600x1520","G250","AS1594 & AS3678","","","","4.86","ASMUSS","","","","","","","","","","true"
"Mild Steel Plates","SPL040","Mild Steel Plate 40mm","2400.00","","","40.00","","","","","1200.00","314.000","2400x1200","G250","AS1594 & AS3678","","","","4.88","ASMUSS","","","","","","","","","","true"
"Mild Steel Plates","SPL050","Mild Steel Plate 50mm","2400.00","","","50.00","","","","","1200.00","392.500","2400x1200","G250","AS1594 & AS3678","","","","4.90","ASMUSS","","","","","","","","","","true"
"Mild Steel Chequer Plates","SPLF03","Mild Steel Chequer Plate 3mm","2400.00","","","3.00","","","","","1220.00","25.650","2400x1220, 3600x1520","HA1","AS1594","","","","4.81","ASMUSS","","","","","","","","","","true"
"Mild Steel Chequer Plates","SPLF05","Mild Steel Chequer Plate 5mm","2400.00","","","5.00","","","","","1220.00","41.350","2400x1220, 3600x1520","HA1","AS1594","","","","4.81","ASMUSS","","","","","","","","","","true"
"Mild Steel Chequer Plates","SPLF06","Mild Steel Chequer Plate 6mm","2400.00","","","6.00","","","","","1220.00","49.200","2400x1220, 3600x1520","HA1","AS1594","","","","4.81","ASMUSS","","","","","","","","","","true"
"Mild Steel Chequer Plates","SPLF08","Mild Steel Chequer Plate 8mm","2400.00","","","8.00","","","","","1220.00","64.900","2400x1220, 3600x1520","HA1","AS1594","","","","4.82","ASMUSS","","","","","","","","","","true"
"Mild Steel Chequer Plates","SPLF10","Mild Steel Chequer Plate 10mm","2400.00","","","10.00","","","","","1220.00","80.600","2400x1220, 3600x1520","HA1","AS1594","","","","4.82","ASMUSS","","","","","","","","","","true"
"Weather Resistant Plates","WRP25","Weather Resistant Plate 2.5mm","2500.00","","","2.50","","","","","1250.00","19.630","2500x1250","HW350","AS1594","","","","5.01","ASMUSS","","","","","","","","","","true"
"Weather Resistant Plates","WRP3","Weather Resistant Plate 3mm","2500.00","","","3.00","","","","","1250.00","23.600","2500x1250","HW350","AS1594","","","","5.01","ASMUSS","","","","","","","","","","true"
"Weather Resistant Plates","WRP4","Weather Resistant Plate 4mm","2500.00","","","4.00","","","","","1250.00","31.400","2500x1250","HW350","AS1594","","","","5.01","ASMUSS","","","","","","","","","","true"
"Weather Resistant Plates","WRP5","Weather Resistant Plate 5mm","2500.00","","","5.00","","","","","1250.00","39.300","2500x1250","HW350","AS1594","","","","5.01","ASMUSS","","","","","","","","","","true"
"Weather Resistant Plates","WRP6","Weather Resistant Plate 6mm","2500.00","","","6.00","","","","","1250.00","47.100","2500x1250","HW350","AS1594","","","","5.01","ASMUSS","","","","","","","","","","true"
"Cold Rolled Sheets","SHCR10","Cold Rolled Sheet 1.0mm","2438.00","","","1.00","","","","","1219.00","7.850","2438x1219","SPCC SD","JIS G3141","","","","4.88","ASMUSS","","","","","","","","","","true"
"Cold Rolled Sheets","SHCR12","Cold Rolled Sheet 1.2mm","2438.00","","","1.20","","","","","1219.00","9.420","2438x1219","SPCC SD","JIS G3141","","","","4.88","ASMUSS","","","","","","","","","","true"
"Cold Rolled Sheets","SHCR16","Cold Rolled Sheet 1.6mm","2438.00","","","1.60","","","","","1219.00","12.560","2438x1219","SPCC SD","JIS G3141","","","","4.88","ASMUSS","","","","","","","","","","true"
"Cold Rolled Sheets","SHCR25","Cold Rolled Sheet 2.5mm","2438.00","","","2.50","","","","","1219.00","19.630","2438x1219","SPCC SD","JIS G3141","","","","4.88","ASMUSS","","","","","","","","","","true"
"Cold Rolled Sheets","SHCR30","Cold Rolled Sheet 3.0mm","2438.00","","","3.00","","","","","1219.00","23.550","2438x1219","SPCC SD","JIS G3141","","","","4.88","ASMUSS","","","","","","","","","","true"
"Electrogalvanised Sheets","SHEG08","Electrogalvanised Sheet 0.8mm","2438.00","","","0.80","","","","","1219.00","6.280","2438x1219","SECC-P","JIS G3313","","","","4.88","ASMUSS","","","","","","","","","","true"
"Electrogalvanised Sheets","SHEG10","Electrogalvanised Sheet 1.0mm","2438.00","","","1.00","","","","","1219.00","7.850","2438x1219","SECC-P","JIS G3313","","","","4.88","ASMUSS","","","","","","","","","","true"
"Galvanized Sheets","SHG300","Galvanized Sheet 3.0mm","2438.00","","","3.00","","","","","1219.00","23.890","2438x1219","S250 Z275","JIS G3302","","","","4.88","ASMUSS","","","","","","","","","","true"
